Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Under Construction,6699000.0,604.0,604.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,0.0
Ready to Move,8800000.0,1140.0,763.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,3100.0
Under Construction,6900000.0,865.0,541.0,Thane,Apartment,2,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,0.0
Under Construction,4300000.0,683.0,427.0,Thane,Apartment,1,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,0.0
Under Construction,9900000.0,980.0,700.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,0.0
Ready to Move,4410000.0,756.0,520.0,Thane,Apartment,1,2.0,"1 Covered, 1 Open","Kalyan West, Thane",Y,Freehold,Y,1400.0
Under Construction,7604000.0,593.0,593.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,6.0
Ready to Move,5600000.0,886.0,490.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,2500.0
Ready to Move,3650000.0,650.0,400.0,Thane,Apartment,1,1.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,800.0
Ready to Move,7300000.0,1180.0,758.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,2000.0
Under Construction,6500000.0,925.0,590.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",N,Freehold,Y,3000.0
Under Construction,4500000.0,917.0,542.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,4399500.0,476.0,476.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Ready to Move,3400000.0,630.0,435.0,Thane,Apartment,1,1.0,,"Kalyan East, Thane",Y,,Y,
Under Construction,4545000.0,,494.0,Thane,Apartment,1,2.0,1 Open,"Kalyan East, Thane",Y,Freehold,Y,1500.0
Under Construction,4900000.0,531.0,531.0,Thane,Apartment,1,1.0,1 Open,"Kalyan East, Thane",Y,Freehold,Y,3.0
Ready to Move,2616500.0,576.0,376.0,Thane,Apartment,1,1.0,"1 Covered, 1 Open","Kalyan East, Thane",Y,Freehold,Y,1200.0
Under Construction,3535000.0,635.0,405.0,Thane,Apartment,1,2.0,1 Open,"Kalyan East, Thane",Y,Freehold,Y,2000.0
